R:A::C:P,0,1,2,3,4,5,p
0,0.39285714285714285,0.17647058823529413,0.14285714285714285,0.0,0.0,0.0,0.2
1,0.39285714285714285,0.5294117647058824,0.4642857142857143,0.3333333333333333,0.0,1.0,0.2
2,0.17857142857142858,0.23529411764705882,0.21428571428571427,0.3333333333333333,0.0,0.0,0.6
3,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0
4,0.0,0.0,0.03571428571428571,0.3333333333333333,0.0,0.0,0.0
5,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
p,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0
