R:A::C:P,0 1,2 4,3 5,6
0 1,0.1752873563218391,0.07327586206896551,0.048132183908045974,0.03017241379310345
2 4,0.07327586206896551,0.07686781609195402,0.06824712643678162,0.031609195402298854
3 5,0.040948275862068964,0.03879310344827586,0.04525862068965517,0.017241379310344827
6,0.0610632183908046,0.06824712643678162,0.08836206896551724,0.06321839080459771
