R:A::C:P,0 4,1 3 5,2,6
0 4,0.19148936170212766,0.1658291457286432,0.1595744680851064,0.17777777777777778
1 3 5,0.5904255319148937,0.5276381909547738,0.5425531914893617,0.4222222222222222
2,0.14361702127659576,0.25125628140703515,0.2553191489361702,0.2222222222222222
6,0.07446808510638298,0.05527638190954774,0.0425531914893617,0.17777777777777778
