R:A::C:P,0,1 3 5,2,4,6
0,0.3010752688172043,0.1322314049586777,0.0784313725490196,0.12280701754385964,0.09259259259259259
1 3 5,0.5591397849462365,0.5537190082644629,0.5686274509803921,0.47368421052631576,0.5555555555555556
2,0.10752688172043011,0.256198347107438,0.2549019607843137,0.19298245614035087,0.2962962962962963
4,0.021505376344086023,0.008264462809917356,0.0392156862745098,0.12280701754385964,0.037037037037037035
6,0.010752688172043012,0.049586776859504134,0.058823529411764705,0.08771929824561403,0.018518518518518517
