R:A::C:P,0,1,2 4,3 5 6
0,0.022988505747126436,0.013649425287356323,0.009339080459770116,0.007183908045977011
1,0.06609195402298851,0.07255747126436782,0.0639367816091954,0.07112068965517242
2 4,0.033764367816091954,0.039511494252873564,0.07686781609195402,0.09985632183908046
3 5 6,0.05962643678160919,0.042385057471264365,0.10704022988505747,0.21408045977011494
