R:A::C:P,0 1,2 5,3 4,6
0 1,0.75,0.4473684210526316,0.5106382978723404,0.5555555555555556
2 5,0.20394736842105263,0.3157894736842105,0.2553191489361702,0.35185185185185186
3 4,0.02631578947368421,0.15789473684210525,0.1702127659574468,0.07407407407407407
6,0.019736842105263157,0.07894736842105263,0.06382978723404255,0.018518518518518517
