R:A::C:P,0 2 5,1 4,3 6
0 2 5,0.4449438202247191,0.30337078651685395,0.251685393258427
1 4,0.41629955947136565,0.3788546255506608,0.20484581497797358
3 6,0.4158215010141988,0.23732251521298176,0.34685598377281945
