R:A::C:P,0 6,1,2 3 4,5
0 6,0.4642857142857143,0.25,0.21428571428571427,0.07142857142857142
1,0.23728813559322035,0.3728813559322034,0.3220338983050847,0.06779661016949153
2 3 4,0.19444444444444445,0.1111111111111111,0.6111111111111112,0.08333333333333333
5,0.3333333333333333,0.0,0.6666666666666666,0.0
