R:A::C:P,0,1 2,3 4 6,5
0,0.43243243243243246,0.35135135135135137,0.14864864864864866,0.06756756756756757
1 2,0.19969512195121952,0.3521341463414634,0.35823170731707316,0.0899390243902439
3 4 6,0.13074204946996468,0.21731448763250882,0.4876325088339223,0.16431095406360424
5,0.17708333333333334,0.22916666666666666,0.4583333333333333,0.13541666666666666
