R:A::C:P,0 1 3 6,2,4 5
0 1 3 6,0.7066381156316917,0.5849056603773585,0.5817307692307693
2,0.1948608137044968,0.2830188679245283,0.24519230769230768
4 5,0.09850107066381156,0.1320754716981132,0.17307692307692307
