R:A::C:P,0,1 4 5,2 3
0,0.42105263157894735,0.47368421052631576,0.10526315789473684
1 4 5,0.2564102564102564,0.3333333333333333,0.41025641025641024
2 3,0.18181818181818182,0.13636363636363635,0.6818181818181818
