R:A::C:P,0 4,1 3 6,2 5
0 4,0.4222222222222222,0.16,0.12903225806451613
1 3 6,0.4222222222222222,0.64,0.45161290322580644
2 5,0.15555555555555556,0.2,0.41935483870967744
