R:A::C:P,0 6,1,2,3,4,5
0 6,0.36774193548387096,0.11827956989247312,0.1010752688172043,0.12473118279569892,0.13118279569892474,0.15698924731182795
1,0.3464566929133858,0.2650918635170604,0.10236220472440945,0.08923884514435695,0.13123359580052493,0.06561679790026247
2,0.28,0.18181818181818182,0.14909090909090908,0.14181818181818182,0.12363636363636364,0.12363636363636364
3,0.29411764705882354,0.10784313725490197,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.1568627450980392
4,0.1917808219178082,0.0684931506849315,0.2191780821917808,0.1780821917808219,0.2191780821917808,0.1232876712328767
5,0.2916666666666667,0.125,0.10416666666666667,0.19791666666666666,0.14583333333333334,0.13541666666666666
