R:A::C:P,0,1 2,3,4 5 6
0,0.12598425196850394,0.06467661691542288,0.016853932584269662,0.023297491039426525
1 2,0.515748031496063,0.5746268656716418,0.4101123595505618,0.3960573476702509
3,0.06692913385826772,0.06467661691542288,0.08426966292134831,0.07885304659498207
4 5 6,0.29133858267716534,0.2960199004975124,0.4887640449438202,0.5017921146953405
