R:A::C:P,0,1 2,3,4 5 6
0,0.43243243243243246,0.35135135135135137,0.04054054054054054,0.17567567567567569
1 2,0.19969512195121952,0.3521341463414634,0.11128048780487805,0.33689024390243905
3,0.16666666666666666,0.2549019607843137,0.14705882352941177,0.43137254901960786
4 5 6,0.13214285714285715,0.2125,0.15535714285714286,0.5
