R:A::C:P,0 2 4,1,3,5 6
0 2 4,0.471563981042654,0.17535545023696683,0.13033175355450238,0.22274881516587677
1,0.47506561679790027,0.2650918635170604,0.08923884514435695,0.17060367454068243
3,0.46078431372549017,0.10784313725490197,0.14705882352941177,0.28431372549019607
5 6,0.3798767967145791,0.09856262833675565,0.15195071868583163,0.36960985626283366
