R:A::C:P,0,1,2,3,4,5 6
0,23,13,6,5,12,14
1,60,70,35,31,23,61
2,23,31,30,24,25,39
3,4,8,9,9,6,14
4,7,1,9,4,7,11
5 6,19,24,17,22,33,52
