R:A::C:P,0,1 3 5,2 4 6
0,0.12598425196850394,0.04639175257731959,0.02697841726618705
1 3 5,0.49606299212598426,0.422680412371134,0.3723021582733813
2 4 6,0.3779527559055118,0.5309278350515464,0.6007194244604317
