                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01236-4-5   67.82%     36.76%     34.36%     3.65%   
                     01256-3-4   67.46%     37.08%     34.64%     4.51%   
                     01246-3-5   67.31%     34.79%     33.91%     3.04%   
                     0-12356-4   65.45%     44.83%     36.79%     9.53%   
                     0-12346-5   65.37%     42.52%     36.09%     7.90%   
                     0-12456-3   64.51%     42.64%     36.15%     7.58%   
                     01356-2-4   61.06%     37.59%     35.67%     5.54%   
                     01346-2-5   59.99%     34.98%     34.52%     2.81%   
                     01456-2-3   59.99%     35.45%     34.94%     4.01%   
                     0-1-23456   59.34%     47.90%     42.55%     19.46%  
                     01234-5-6   58.76%     38.42%     38.00%     11.14%  
                     0-13456-2   58.41%     43.03%     37.18%     8.14%   
                     01235-4-6   58.12%     40.13%     38.34%     10.87%  
                     02356-1-4   57.69%     40.52%     39.00%     10.94%  
                     01245-3-6   57.26%     38.14%     37.69%     9.74%   
                     0126-35-4   56.90%     39.11%     35.82%     7.16%   
                     0126-34-5   56.39%     36.95%     34.57%     5.59%   
                     0126-3-45   56.03%     36.36%     34.19%     5.06%   
                     02346-1-5   55.75%     37.47%     37.40%     7.07%   
                     01-2356-4   55.68%     45.05%     43.06%     18.02%  
                     02456-1-3   55.60%     37.87%     37.74%     7.83%   
                     0-12345-6   55.03%     45.15%     39.53%     12.22%  
                     01-2346-5   54.31%     42.17%     41.63%     14.86%  
                     01-2456-3   54.02%     42.46%     41.88%     15.20%  
                     0-1246-35   53.88%     44.51%     37.06%     9.61%   
                     0123-4-56   53.88%     41.82%     40.26%     13.26%  
                     0124-3-56   53.88%     40.26%     40.04%     13.02%  
                     0-1236-45   53.09%     43.67%     35.72%     8.13%   
                     0124-36-5   53.09%     39.11%     38.81%     11.28%  
                     05-1236-4   53.02%     39.45%     34.24%     5.94%   
                     0-1256-34   52.95%     44.49%     36.26%     8.92%   
                     05-1246-3   52.95%     37.53%     33.95%     5.32%   
                     0156-23-4   52.87%     38.62%     36.82%     7.15%   
                     03-1246-5   52.80%     36.70%     33.47%     4.66%   
                     012-356-4   52.73%     43.35%     41.76%     15.84%  
                     0123-46-5   52.59%     38.56%     38.34%     9.94%   
                     0156-24-3   52.59%     36.74%     36.29%     5.99%   
                     04-1236-5   52.44%     37.57%     32.91%     4.52%   
                     03-1256-4   52.37%     38.83%     33.91%     5.54%   
                     0146-23-5   52.30%     36.18%     35.87%     5.19%   
                     0136-24-5   52.23%     36.11%     35.69%     4.55%   
                     0125-36-4   51.94%     40.50%     38.80%     10.71%  
                     04-1256-3   51.94%     37.80%     33.08%     4.79%   
                     0136-25-4   51.80%     37.45%     35.60%     4.86%   
                     0-14-2356   51.65%     46.91%     41.32%     15.95%  
                     0146-25-3   51.58%     35.65%     35.26%     4.33%   
                     0125-3-46   51.44%     38.39%     38.11%     9.13%   
                     012-3-456   51.36%     40.75%     40.47%     13.37%  
                     01-2-3456   51.08%     44.30%     43.73%     17.78%  
                     0156-2-34   51.01%     37.79%     36.03%     6.76%   
                     012-346-5   50.93%     39.95%     39.71%     12.22%  
                     0146-2-35   50.93%     37.52%     36.33%     6.37%   
                     03456-1-2   50.79%     39.39%     38.94%     11.15%  
                     0-1234-56   50.72%     46.55%     41.11%     14.32%  
                     0124-35-6   50.72%     41.15%     40.09%     13.73%  
                     0136-2-45   50.29%     36.57%     35.06%     4.80%   
                     0-1356-24   50.00%     43.80%     37.83%     8.74%   
                     01345-2-6   50.00%     38.50%     37.71%     9.85%   
                     0123-45-6   49.86%     39.95%     38.68%     11.86%  
                     02-1356-4   49.71%     37.81%     35.56%     4.89%   
                     0-1456-23   49.64%     43.59%     37.77%     8.55%   
                     0-12-3456   49.50%     47.60%     41.37%     16.81%  
                     014-256-3   49.35%     40.68%     39.38%     12.53%  
                     0-13-2456   49.28%     45.21%     39.55%     12.73%  
                     014-236-5   49.28%     40.21%     38.92%     11.79%  
                     02-1346-5   49.21%     35.34%     34.65%     2.86%   
                     0-1346-25   49.07%     42.68%     36.82%     7.02%   
                     0125-34-6   49.07%     40.37%     38.83%     11.58%  
                     013-256-4   49.07%     41.70%     39.33%     12.42%  
                     02-1456-3   49.07%     35.72%     34.98%     3.53%   
                     0-124-356   48.99%     47.37%     41.77%     15.83%  
                     0-15-2346   48.99%     44.74%     39.05%     11.96%  
                     0256-14-3   48.92%     37.23%     36.89%     6.21%   
                     0236-14-5   48.71%     36.66%     36.36%     5.13%   
                     04-1-2356   48.71%     42.76%     39.70%     14.93%  
                     06-1234-5   48.71%     36.59%     36.26%     5.91%   
                     016-235-4   48.64%     39.63%     37.65%     8.81%   
                     015-236-4   48.56%     41.35%     38.96%     11.66%  
                     016-234-5   48.56%     37.71%     37.03%     7.73%   
                     0-1245-36   48.28%     44.93%     39.32%     11.08%  
                     0-1235-46   48.20%     44.77%     39.12%     10.52%  
                     013-246-5   48.20%     38.97%     38.11%     9.80%   
                     0256-13-4   48.20%     38.11%     36.30%     5.81%   
                     0356-12-4   48.13%     40.31%     37.89%     10.36%  
                     014-2-356   47.99%     42.60%     41.86%     15.18%  
                     05-1-2346   47.92%     41.75%     39.59%     13.17%  
                     015-246-3   47.77%     39.08%     38.19%     9.79%   
                     016-245-3   47.49%     37.03%     36.37%     6.63%   
                     03-1-2456   47.49%     41.21%     39.35%     12.86%  
                     05-1346-2   47.49%     37.57%     34.79%     4.77%   
                     06-1235-4   47.49%     38.07%     36.19%     5.43%   
                     0236-15-4   47.41%     37.38%     35.52%     4.31%   
                     04-1356-2   47.41%     38.17%     34.38%     5.38%   
                     012-34-56   47.34%     42.74%     41.48%     15.22%  
                     0134-2-56   47.27%     40.41%     39.81%     12.18%  
                     0-123-456   47.20%     46.25%     40.39%     13.49%  
                     0134-26-5   47.20%     38.00%     36.24%     8.74%   
                     03-1456-2   47.20%     37.11%     34.64%     4.78%   
                     06-1245-3   47.05%     36.11%     35.71%     4.41%   
                     0135-26-4   46.98%     39.67%     36.72%     9.16%   
                     0256-1-34   46.98%     39.77%     38.45%     9.32%   
                     056-124-3   46.84%     37.93%     37.40%     7.98%   
                     01-2345-6   46.77%     44.85%     44.20%     18.11%  
                     0246-13-5   46.77%     35.18%     34.84%     2.74%   
                     01-24-356   46.62%     44.99%     44.86%     17.90%  
                     05-1234-6   46.62%     40.45%     38.05%     10.73%  
                     012-35-46   46.55%     41.64%     40.81%     13.48%  
                     01-256-34   46.41%     44.12%     42.11%     16.03%  
                     0145-26-3   46.41%     37.91%     36.15%     8.34%   
                     02-1-3456   46.41%     41.65%     41.55%     14.19%  
                     0236-1-45   46.41%     38.61%     37.54%     7.72%   
                     056-123-4   46.41%     39.41%     37.31%     8.10%   
                     013-2-456   46.34%     41.03%     40.53%     12.60%  
                     0456-12-3   46.34%     37.62%     36.52%     7.78%   
                     012-36-45   46.19%     41.00%     39.87%     12.95%  
                     0246-15-3   46.19%     35.01%     34.59%     2.32%   
                     02345-1-6   46.12%     40.69%     40.02%     12.89%  
                     01-246-35   46.05%     43.55%     42.14%     14.98%  
                     0246-1-35   46.05%     39.00%     38.23%     7.83%   
                     01-236-45   45.98%     43.06%     41.28%     14.76%  
                     036-124-5   45.91%     36.72%     36.28%     6.14%   
                     012-345-6   45.83%     42.67%     40.88%     15.38%  
                     0135-2-46   45.76%     38.82%     38.38%     9.29%   
                     0346-12-5   45.76%     36.72%     35.76%     6.33%   
                     0145-2-36   45.69%     39.18%     38.49%     10.04%  
                     0356-14-2   45.69%     38.87%     38.51%     9.25%   
                     0-126-345   45.62%     45.46%     36.36%     10.68%  
                     0-134-256   45.62%     45.01%     39.09%     11.94%  
                     01-23-456   45.55%     44.27%     44.09%     16.60%  
                     0-125-346   45.47%     45.07%     39.12%     11.22%  
                     015-2-346   45.47%     40.34%     39.85%     11.44%  
                     0-146-235   45.33%     44.31%     38.16%     9.82%   
                     0356-1-24   45.33%     40.35%     40.33%     11.59%  
                     0-156-234   45.26%     44.66%     38.17%     10.20%  
                     016-2-345   45.26%     39.04%     36.86%     8.71%   
                     016-24-35   45.19%     38.94%     37.77%     8.48%   
                     01-234-56   45.11%     45.31%     45.08%     18.11%  
                     0135-24-6   44.97%     39.75%     39.36%     10.96%  
                     035-126-4   44.97%     39.15%     33.65%     6.68%   
                     03-1245-6   44.83%     39.14%     37.01%     8.57%   
                     04-1235-6   44.83%     40.06%     36.65%     8.83%   
                     0134-25-6   44.76%     39.43%     38.78%     10.84%  
                     0145-23-6   44.68%     39.88%     39.31%     11.30%  
                     0-145-236   44.61%     44.19%     38.26%     10.46%  
                     016-23-45   44.61%     38.07%     36.67%     7.55%   
                     046-123-5   44.54%     35.92%     35.25%     4.58%   
