R:A::C:P,0,1 6,2 5,3,4
0,0.022988505747126436,0.015086206896551725,0.008620689655172414,0.0021551724137931034,0.004310344827586207
1 6,0.10129310344827586,0.1903735632183908,0.1235632183908046,0.0639367816091954,0.07543103448275862
2 5,0.040229885057471264,0.07974137931034483,0.07040229885057471,0.041666666666666664,0.034482758620689655
3,0.01221264367816092,0.017241379310344827,0.022270114942528736,0.010775862068965518,0.010775862068965518
4,0.005747126436781609,0.007902298850574713,0.017959770114942528,0.009339080459770116,0.011494252873563218
