R:A::C:P,0,1 6,2 5,3,4
0,0.12598425196850394,0.04861111111111111,0.03550295857988166,0.016853932584269662,0.031578947368421054
1 6,0.5551181102362205,0.6134259259259259,0.5088757396449705,0.5,0.5526315789473685
2 5,0.2204724409448819,0.2569444444444444,0.28994082840236685,0.3258426966292135,0.25263157894736843
3,0.06692913385826772,0.05555555555555555,0.09171597633136094,0.08426966292134831,0.07894736842105263
4,0.031496062992125984,0.02546296296296296,0.07396449704142012,0.07303370786516854,0.08421052631578947
