R:A::C:P,0 1 2 4,3,5 6
0 1 2 4,0.6560283687943262,0.5,0.4320652173913043
3,0.06855791962174941,0.08426966292134831,0.07880434782608696
5 6,0.27541371158392436,0.4157303370786517,0.4891304347826087
