R:A::C:P,0,1 4,2,3 5 6
0,0.12598425196850394,0.0589622641509434,0.041666666666666664,0.018315018315018316
1 4,0.3937007874015748,0.4056603773584906,0.3273809523809524,0.2326007326007326
2,0.15354330708661418,0.19811320754716982,0.24404761904761904,0.2032967032967033
3 5 6,0.32677165354330706,0.33726415094339623,0.3869047619047619,0.5457875457875457
