                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  01-2-3-4-5-6   37.25%     24.02%     20.04%     8.09%   
                  0-12-3-4-5-6   34.01%     26.82%     20.91%     9.43%   
                  0-13-2-4-5-6   27.53%     23.23%     19.62%     5.95%   
                  0-14-2-3-5-6   27.13%     21.24%     18.58%     5.22%   
                  0-16-2-3-4-5   27.13%     28.30%     21.93%     8.93%   
                  02-1-3-4-5-6   26.32%     22.47%     16.99%     4.15%   
                  0-1-23-4-5-6   26.32%     24.27%     19.62%     7.51%   
                  0-1-26-3-4-5   25.91%     29.07%     21.76%     10.12%  
                  0-1-24-3-5-6   25.10%     21.83%     18.16%     5.82%   
                  0-1-25-3-4-6   25.10%     28.35%     21.63%     10.18%  
                  0-15-2-3-4-6   24.70%     27.42%     21.04%     8.59%   
                  04-1-2-3-5-6   24.29%     20.75%     16.71%     4.67%   
                  06-1-2-3-4-5   23.48%     26.95%     19.48%     7.80%   
                  0-1-2-35-4-6   23.48%     27.71%     21.03%     9.57%   
                  0-1-2-36-4-5   23.48%     28.45%     20.56%     9.38%   
                  03-1-2-4-5-6   23.08%     21.35%     16.79%     4.39%   
                  05-1-2-3-4-6   23.08%     26.26%     19.67%     7.94%   
                  0-1-2-34-5-6   23.08%     22.16%     17.75%     5.87%   
                  0-1-2-3-4-56   22.67%     28.98%     21.26%     9.84%   
                  0-1-2-3-46-5   22.27%     24.90%     18.71%     7.01%   
                  0-1-2-3-45-6   21.86%     23.41%     18.61%     6.56%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-26-3-4-5   25.91%     29.07%     21.76%     10.12%  
                  0-1-2-3-4-56   22.67%     28.98%     21.26%     9.84%   
                  0-1-2-36-4-5   23.48%     28.45%     20.56%     9.38%   
                  0-1-25-3-4-6   25.10%     28.35%     21.63%     10.18%  
                  0-16-2-3-4-5   27.13%     28.30%     21.93%     8.93%   
                  0-1-2-35-4-6   23.48%     27.71%     21.03%     9.57%   
                  0-15-2-3-4-6   24.70%     27.42%     21.04%     8.59%   
                  06-1-2-3-4-5   23.48%     26.95%     19.48%     7.80%   
                  0-12-3-4-5-6   34.01%     26.82%     20.91%     9.43%   
                  05-1-2-3-4-6   23.08%     26.26%     19.67%     7.94%   
                  0-1-2-3-46-5   22.27%     24.90%     18.71%     7.01%   
                  0-1-23-4-5-6   26.32%     24.27%     19.62%     7.51%   
                  01-2-3-4-5-6   37.25%     24.02%     20.04%     8.09%   
                  0-1-2-3-45-6   21.86%     23.41%     18.61%     6.56%   
                  0-13-2-4-5-6   27.53%     23.23%     19.62%     5.95%   
                  02-1-3-4-5-6   26.32%     22.47%     16.99%     4.15%   
                  0-1-2-34-5-6   23.08%     22.16%     17.75%     5.87%   
                  0-1-24-3-5-6   25.10%     21.83%     18.16%     5.82%   
                  03-1-2-4-5-6   23.08%     21.35%     16.79%     4.39%   
                  0-14-2-3-5-6   27.13%     21.24%     18.58%     5.22%   
                  04-1-2-3-5-6   24.29%     20.75%     16.71%     4.67%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-16-2-3-4-5   27.13%     28.30%     21.93%     8.93%   
                  0-1-26-3-4-5   25.91%     29.07%     21.76%     10.12%  
                  0-1-25-3-4-6   25.10%     28.35%     21.63%     10.18%  
                  0-1-2-3-4-56   22.67%     28.98%     21.26%     9.84%   
                  0-15-2-3-4-6   24.70%     27.42%     21.04%     8.59%   
                  0-1-2-35-4-6   23.48%     27.71%     21.03%     9.57%   
                  0-12-3-4-5-6   34.01%     26.82%     20.91%     9.43%   
                  0-1-2-36-4-5   23.48%     28.45%     20.56%     9.38%   
                  01-2-3-4-5-6   37.25%     24.02%     20.04%     8.09%   
                  05-1-2-3-4-6   23.08%     26.26%     19.67%     7.94%   
                  0-13-2-4-5-6   27.53%     23.23%     19.62%     5.95%   
                  0-1-23-4-5-6   26.32%     24.27%     19.62%     7.51%   
                  06-1-2-3-4-5   23.48%     26.95%     19.48%     7.80%   
                  0-1-2-3-46-5   22.27%     24.90%     18.71%     7.01%   
                  0-1-2-3-45-6   21.86%     23.41%     18.61%     6.56%   
                  0-14-2-3-5-6   27.13%     21.24%     18.58%     5.22%   
                  0-1-24-3-5-6   25.10%     21.83%     18.16%     5.82%   
                  0-1-2-34-5-6   23.08%     22.16%     17.75%     5.87%   
                  02-1-3-4-5-6   26.32%     22.47%     16.99%     4.15%   
                  03-1-2-4-5-6   23.08%     21.35%     16.79%     4.39%   
                  04-1-2-3-5-6   24.29%     20.75%     16.71%     4.67%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                  0-1-25-3-4-6   25.10%     28.35%     21.63%     10.18%  
                  0-1-26-3-4-5   25.91%     29.07%     21.76%     10.12%  
                  0-1-2-3-4-56   22.67%     28.98%     21.26%     9.84%   
                  0-1-2-35-4-6   23.48%     27.71%     21.03%     9.57%   
                  0-12-3-4-5-6   34.01%     26.82%     20.91%     9.43%   
                  0-1-2-36-4-5   23.48%     28.45%     20.56%     9.38%   
                  0-16-2-3-4-5   27.13%     28.30%     21.93%     8.93%   
                  0-15-2-3-4-6   24.70%     27.42%     21.04%     8.59%   
                  01-2-3-4-5-6   37.25%     24.02%     20.04%     8.09%   
                  05-1-2-3-4-6   23.08%     26.26%     19.67%     7.94%   
                  06-1-2-3-4-5   23.48%     26.95%     19.48%     7.80%   
                  0-1-23-4-5-6   26.32%     24.27%     19.62%     7.51%   
                  0-1-2-3-46-5   22.27%     24.90%     18.71%     7.01%   
                  0-1-2-3-45-6   21.86%     23.41%     18.61%     6.56%   
                  0-13-2-4-5-6   27.53%     23.23%     19.62%     5.95%   
                  0-1-2-34-5-6   23.08%     22.16%     17.75%     5.87%   
                  0-1-24-3-5-6   25.10%     21.83%     18.16%     5.82%   
                  0-14-2-3-5-6   27.13%     21.24%     18.58%     5.22%   
                  04-1-2-3-5-6   24.29%     20.75%     16.71%     4.67%   
                  03-1-2-4-5-6   23.08%     21.35%     16.79%     4.39%   
                  02-1-3-4-5-6   26.32%     22.47%     16.99%     4.15%   
