R:A::C:P,0 1,2 3,4,5 6
0 1,0.29554655870445345,0.1700404858299595,0.0728744939271255,0.0931174089068826
2 3,0.06477732793522267,0.10121457489878542,0.02834008097165992,0.0728744939271255
4,0.004048582995951417,0.016194331983805668,0.020242914979757085,0.004048582995951417
5 6,0.016194331983805668,0.032388663967611336,0.0,0.008097165991902834
