R:A::C:P,0,1,2,3 4 5 6
0,0.40476190476190477,0.17857142857142858,0.08,0.171875
1,0.42857142857142855,0.6428571428571429,0.44,0.359375
2,0.09523809523809523,0.14285714285714285,0.32,0.28125
3 4 5 6,0.07142857142857142,0.03571428571428571,0.16,0.1875
