R:A::C:P,0,1,2,3 4 5 6
0,0.4857142857142857,0.14285714285714285,0.05714285714285714,0.3142857142857143
1,0.2571428571428571,0.2571428571428571,0.15714285714285714,0.32857142857142857
2,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.5294117647058824
3 4 5 6,0.15,0.05,0.2,0.6
