R:A::C:P,0,1 2 3,4 5,6
0,0.3939393939393939,0.11428571428571428,0.2857142857142857,0.0
1 2 3,0.5454545454545454,0.8285714285714286,0.6666666666666666,0.5
4 5,0.06060606060606061,0.04285714285714286,0.047619047619047616,0.5
6,0.0,0.014285714285714285,0.0,0.0
