R:A::C:P,0 3,1,2 5,4
0 3,0.1125,0.0875,0.075,0.0
1,0.175,0.125,0.15,0.0
2 5,0.125,0.05,0.075,0.0
4,0.0,0.0,0.0125,0.0125
