R:A::C:P,0 3,1,2 5,4
0 3,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.0
1,0.3888888888888889,0.2777777777777778,0.3333333333333333,0.0
2 5,0.5,0.2,0.3,0.0
4,0.0,0.0,0.5,0.5
