R:A::C:P,0 3,1,2 5,4
0 3,0.2727272727272727,0.3333333333333333,0.24,0.0
1,0.42424242424242425,0.47619047619047616,0.48,0.0
2 5,0.30303030303030304,0.19047619047619047,0.24,0.0
4,0.0,0.0,0.04,1.0
