R:A::C:P,0 3 4,1 6,2 5
0 3 4,0.10076045627376426,0.057034220532319393,0.0817490494296578
1 6,0.24714828897338403,0.12547528517110265,0.12737642585551331
2 5,0.12737642585551331,0.06653992395437262,0.06653992395437262
