R:A::C:P,0,1 2,3,4,5,6
0,28,12,3,7,5,5
1 2,57,82,25,32,10,41
3,1,7,3,5,4,2
4,2,2,1,7,0,2
5,4,2,4,1,3,3
6,1,5,1,5,3,1
