R:A::C:P,0,1 2 4,3 6,5
0,0.4857142857142857,0.4,0.05714285714285714,0.05714285714285714
1 2 4,0.2072072072072072,0.46846846846846846,0.24324324324324326,0.08108108108108109
3 6,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.0
5,0.25,0.25,0.5,0.0
