R:A::C:P,0 1,2 3,4 5,6
0 1,0.30319148936170215,0.1196808510638298,0.09840425531914894,0.0797872340425532
2 3,0.07712765957446809,0.0797872340425532,0.06914893617021277,0.047872340425531915
4 5,0.015957446808510637,0.023936170212765957,0.02925531914893617,0.013297872340425532
6,0.007978723404255319,0.010638297872340425,0.02127659574468085,0.0026595744680851063
