R:A::C:P,0,1 2,3,4 6,5
0,0.12598425196850394,0.06467661691542288,0.016853932584269662,0.020618556701030927,0.029411764705882353
1 2,0.515748031496063,0.5746268656716418,0.4101123595505618,0.4175257731958763,0.34705882352941175
3,0.06692913385826772,0.06467661691542288,0.08426966292134831,0.07216494845360824,0.09411764705882353
4 6,0.22440944881889763,0.24129353233830847,0.38202247191011235,0.4252577319587629,0.45294117647058824
5,0.06692913385826772,0.05472636815920398,0.10674157303370786,0.06443298969072164,0.07647058823529412
