R:A::C:P,0 5,1 3,2,4 6
0 5,0.048132183908045974,0.03807471264367816,0.01221264367816092,0.023706896551724137
1 3,0.10775862068965517,0.11566091954022989,0.03879310344827586,0.08477011494252873
2,0.05244252873563218,0.0639367816091954,0.029454022988505746,0.05172413793103448
4 6,0.09626436781609195,0.07830459770114942,0.040229885057471264,0.11853448275862069
