R:A::C:P,0 5,1 3,2,4 6
0 5,0.1580188679245283,0.12864077669902912,0.10119047619047619,0.08505154639175258
1 3,0.35377358490566035,0.3907766990291262,0.32142857142857145,0.30412371134020616
2,0.1721698113207547,0.21601941747572814,0.24404761904761904,0.18556701030927836
4 6,0.3160377358490566,0.2645631067961165,0.3333333333333333,0.4252577319587629
