R:A::C:P,0 1 3,2,4 5 6
0 1 3,0.7901234567901234,0.5,0.6956521739130435
2,0.16049382716049382,0.4090909090909091,0.21739130434782608
4 5 6,0.04938271604938271,0.09090909090909091,0.08695652173913043
