R:A::C:P,0 5,1 2 3,4,6
0 5,0.048132183908045974,0.05028735632183908,0.014367816091954023,0.009339080459770116
1 2 3,0.16020114942528735,0.2478448275862069,0.07112068965517242,0.0653735632183908
4,0.01221264367816092,0.02442528735632184,0.011494252873563218,0.004310344827586207
6,0.08405172413793104,0.09410919540229885,0.039511494252873564,0.06321839080459771
