R:A::C:P,antag,fool,other,protag
antag,0.13793103448275862,0.034482758620689655,0.4482758620689655,0.3793103448275862
fool,0.2,0.65,0.05,0.1
other,0.2484076433121019,0.14861995753715498,0.31210191082802546,0.2908704883227176
protag,0.22857142857142856,0.05714285714285714,0.22857142857142856,0.4857142857142857
