R:A::C:P,0,1 3,2 5 6,4
0,0.5,0.19047619047619047,0.19047619047619047,0.11904761904761904
1 3,0.2619047619047619,0.25396825396825395,0.373015873015873,0.1111111111111111
2 5 6,0.14705882352941177,0.3235294117647059,0.4411764705882353,0.08823529411764706
4,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.45454545454545453
