R:A::C:P,0 2,1,3 4,5
0 2,0.5,0.2631578947368421,0.18421052631578946,0.05263157894736842
1,0.5833333333333334,0.2777777777777778,0.1111111111111111,0.027777777777777776
3 4,0.8,0.0,0.2,0.0
5,0.0,1.0,0.0,0.0
