R:A::C:P,0 1,2,3,4 6,5
0 1,0.30319148936170215,0.06648936170212766,0.05319148936170213,0.15425531914893617,0.023936170212765957
2,0.07180851063829788,0.034574468085106384,0.02127659574468085,0.07180851063829788,0.015957446808510637
3,0.005319148936170213,0.015957446808510637,0.007978723404255319,0.018617021276595744,0.010638297872340425
4 6,0.013297872340425532,0.013297872340425532,0.005319148936170213,0.0398936170212766,0.007978723404255319
5,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.010638297872340425,0.007978723404255319
