R:A::C:P,0,1,2,3,4,5,6,p
0,30,18,7,3,5,4,2,5
1,89,99,39,31,49,24,38,12
2,36,49,41,37,31,33,37,11
3,16,11,15,15,14,13,13,5
4,7,5,15,12,14,9,4,7
5,17,11,10,19,13,12,11,3
6,47,35,39,54,51,64,83,18
p,10,6,6,5,7,11,5,0
