R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,19,27,7,0,9,3,6,3,0,0
1,19,171,41,8,18,15,91,7,0,11
2,10,98,34,9,16,15,85,4,0,4
3,2,33,15,3,3,4,40,1,0,1
4,3,17,8,4,6,2,31,0,0,2
5,3,31,6,4,2,11,36,3,0,0
6,6,133,14,1,8,4,218,5,0,2
7,1,14,1,0,0,0,6,7,0,1
a2,0,1,0,0,0,0,0,0,0,0
p,1,19,6,1,3,0,18,2,0,0
