                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      012345-6   96.86%     49.04%     49.20%     -1.57%  
                      012346-5   90.57%     46.45%     47.52%     -4.38%  
                      01234-56   88.68%     54.08%     51.98%     5.49%   
                      012356-4   87.42%     66.17%     58.11%     20.45%  
                      01235-46   84.28%     60.33%     55.32%     13.83%  
                      012456-3   78.62%     54.75%     49.19%     4.92%   
                      01236-45   77.99%     54.51%     51.00%     5.86%   
                      01245-36   76.73%     56.33%     50.25%     7.14%   
                      0123-456   76.10%     55.45%     51.71%     7.37%   
                      0-123456   72.96%     64.21%     63.16%     26.70%  
                      013456-2   72.96%     54.96%     55.26%     11.18%  
                      01345-26   72.33%     56.57%     56.96%     14.44%  
                      01256-34   71.07%     68.00%     55.01%     21.98%  
                      06-12345   71.07%     63.26%     62.21%     24.87%  
                      01246-35   70.44%     50.46%     46.79%     0.53%   
                      0134-256   70.44%     60.34%     60.42%     20.85%  
                      04-12356   70.44%     69.23%     66.25%     34.87%  
                      0124-356   69.81%     55.53%     49.39%     6.73%   
                      01346-25   69.81%     57.60%     57.73%     15.49%  
                      0125-346   69.18%     66.22%     54.65%     20.70%  
                      0145-236   68.55%     66.01%     63.92%     29.44%  
                      046-1235   68.55%     67.74%     64.95%     32.36%  
                      014-2356   67.92%     68.59%     65.52%     34.17%  
                      01456-23   67.92%     64.07%     62.17%     25.76%  
                      05-12346   67.30%     61.89%     60.23%     21.71%  
                      056-1234   66.67%     62.42%     60.69%     22.75%  
                      0146-235   66.04%     65.56%     62.79%     28.38%  
                      045-1236   64.78%     65.55%     62.27%     28.34%  
                      0456-123   64.15%     65.46%     62.21%     28.43%  
                      015-2346   63.52%     65.28%     62.08%     28.37%  
                      01-23456   62.89%     66.51%     62.51%     31.50%  
                      0126-345   62.89%     59.69%     50.32%     12.63%  
                      01356-24   62.89%     52.72%     52.63%     5.32%   
                      0156-234   62.89%     63.96%     60.89%     25.68%  
                      012-3456   62.26%     61.29%     51.47%     15.28%  
                      0135-246   62.26%     53.65%     53.51%     7.10%   
                      016-2345   61.01%     64.11%     60.31%     26.56%  
                      023456-1   61.01%     57.24%     54.28%     18.87%  
                      013-2456   60.38%     55.82%     55.21%     11.04%  
                      0136-245   59.75%     53.77%     53.32%     7.14%   
                      02345-16   57.86%     55.03%     51.89%     12.64%  
                      02346-15   57.86%     56.13%     54.01%     14.21%  
                      034-1256   56.60%     61.28%     56.04%     21.10%  
                      0234-156   55.97%     54.95%     52.84%     11.21%  
                      02356-14   55.97%     55.34%     53.73%     11.69%  
                      02456-13   55.97%     55.57%     55.03%     11.53%  
                      0256-134   55.97%     56.05%     55.96%     12.08%  
                      0346-125   55.97%     60.87%     55.68%     20.68%  
                      0245-136   54.09%     54.02%     53.49%     8.24%   
                      0246-135   54.09%     54.20%     53.97%     8.46%   
                      025-1346   54.09%     54.04%     53.97%     8.05%   
                      026-1345   54.09%     53.49%     53.49%     6.99%   
                      03-12456   54.09%     52.78%     50.28%     4.92%   
                      02-13456   53.46%     52.46%     52.46%     4.95%   
                      024-1356   53.46%     53.65%     53.44%     7.31%   
                      036-1245   53.46%     53.09%     50.48%     5.54%   
                      0235-146   52.83%     52.71%     51.09%     5.84%   
                      0236-145   52.83%     53.09%     52.07%     6.41%   
                      03456-12   52.83%     58.80%     52.82%     17.76%  
                      0345-126   52.20%     58.02%     52.18%     15.83%  
                      023-1456   50.94%     51.46%     50.50%     3.00%   
                      0356-124   50.31%     52.59%     49.16%     4.78%   
                      035-1246   49.69%     51.07%     47.95%     1.94%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      04-12356   70.44%     69.23%     66.25%     34.87%  
                      014-2356   67.92%     68.59%     65.52%     34.17%  
                      01256-34   71.07%     68.00%     55.01%     21.98%  
                      046-1235   68.55%     67.74%     64.95%     32.36%  
                      01-23456   62.89%     66.51%     62.51%     31.50%  
                      0125-346   69.18%     66.22%     54.65%     20.70%  
                      012356-4   87.42%     66.17%     58.11%     20.45%  
                      0145-236   68.55%     66.01%     63.92%     29.44%  
                      0146-235   66.04%     65.56%     62.79%     28.38%  
                      045-1236   64.78%     65.55%     62.27%     28.34%  
                      0456-123   64.15%     65.46%     62.21%     28.43%  
                      015-2346   63.52%     65.28%     62.08%     28.37%  
                      0-123456   72.96%     64.21%     63.16%     26.70%  
                      016-2345   61.01%     64.11%     60.31%     26.56%  
                      01456-23   67.92%     64.07%     62.17%     25.76%  
                      0156-234   62.89%     63.96%     60.89%     25.68%  
                      06-12345   71.07%     63.26%     62.21%     24.87%  
                      056-1234   66.67%     62.42%     60.69%     22.75%  
                      05-12346   67.30%     61.89%     60.23%     21.71%  
                      012-3456   62.26%     61.29%     51.47%     15.28%  
                      034-1256   56.60%     61.28%     56.04%     21.10%  
                      0346-125   55.97%     60.87%     55.68%     20.68%  
                      0134-256   70.44%     60.34%     60.42%     20.85%  
                      01235-46   84.28%     60.33%     55.32%     13.83%  
                      0126-345   62.89%     59.69%     50.32%     12.63%  
                      03456-12   52.83%     58.80%     52.82%     17.76%  
                      0345-126   52.20%     58.02%     52.18%     15.83%  
                      01346-25   69.81%     57.60%     57.73%     15.49%  
                      023456-1   61.01%     57.24%     54.28%     18.87%  
                      01345-26   72.33%     56.57%     56.96%     14.44%  
                      01245-36   76.73%     56.33%     50.25%     7.14%   
                      02346-15   57.86%     56.13%     54.01%     14.21%  
                      0256-134   55.97%     56.05%     55.96%     12.08%  
                      013-2456   60.38%     55.82%     55.21%     11.04%  
                      02456-13   55.97%     55.57%     55.03%     11.53%  
                      0124-356   69.81%     55.53%     49.39%     6.73%   
                      0123-456   76.10%     55.45%     51.71%     7.37%   
                      02356-14   55.97%     55.34%     53.73%     11.69%  
                      02345-16   57.86%     55.03%     51.89%     12.64%  
                      013456-2   72.96%     54.96%     55.26%     11.18%  
                      0234-156   55.97%     54.95%     52.84%     11.21%  
                      012456-3   78.62%     54.75%     49.19%     4.92%   
                      01236-45   77.99%     54.51%     51.00%     5.86%   
                      0246-135   54.09%     54.20%     53.97%     8.46%   
                      01234-56   88.68%     54.08%     51.98%     5.49%   
                      025-1346   54.09%     54.04%     53.97%     8.05%   
                      0245-136   54.09%     54.02%     53.49%     8.24%   
                      0136-245   59.75%     53.77%     53.32%     7.14%   
                      0135-246   62.26%     53.65%     53.51%     7.10%   
                      024-1356   53.46%     53.65%     53.44%     7.31%   
                      026-1345   54.09%     53.49%     53.49%     6.99%   
                      036-1245   53.46%     53.09%     50.48%     5.54%   
                      0236-145   52.83%     53.09%     52.07%     6.41%   
                      03-12456   54.09%     52.78%     50.28%     4.92%   
                      01356-24   62.89%     52.72%     52.63%     5.32%   
                      0235-146   52.83%     52.71%     51.09%     5.84%   
                      0356-124   50.31%     52.59%     49.16%     4.78%   
                      02-13456   53.46%     52.46%     52.46%     4.95%   
                      023-1456   50.94%     51.46%     50.50%     3.00%   
                      035-1246   49.69%     51.07%     47.95%     1.94%   
                      01246-35   70.44%     50.46%     46.79%     0.53%   
                      012345-6   96.86%     49.04%     49.20%     -1.57%  
                      012346-5   90.57%     46.45%     47.52%     -4.38%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                      04-12356   70.44%     69.23%     66.25%     34.87%  
                      014-2356   67.92%     68.59%     65.52%     34.17%  
                      046-1235   68.55%     67.74%     64.95%     32.36%  
                      0145-236   68.55%     66.01%     63.92%     29.44%  
                      0-123456   72.96%     64.21%     63.16%     26.70%  
                      0146-235   66.04%     65.56%     62.79%     28.38%  
                      01-23456   62.89%     66.51%     62.51%     31.50%  
                      045-1236   64.78%     65.55%     62.27%     28.34%  
                      0456-123   64.15%     65.46%     62.21%     28.43%  
                      06-12345   71.07%     63.26%     62.21%     24.87%  
                      01456-23   67.92%     64.07%     62.17%     25.76%  
                      015-2346   63.52%     65.28%     62.08%     28.37%  
                      0156-234   62.89%     63.96%     60.89%     25.68%  
                      056-1234   66.67%     62.42%     60.69%     22.75%  
                      0134-256   70.44%     60.34%     60.42%     20.85%  
                      016-2345   61.01%     64.11%     60.31%     26.56%  
                      05-12346   67.30%     61.89%     60.23%     21.71%  
                      012356-4   87.42%     66.17%     58.11%     20.45%  
                      01346-25   69.81%     57.60%     57.73%     15.49%  
                      01345-26   72.33%     56.57%     56.96%     14.44%  
                      034-1256   56.60%     61.28%     56.04%     21.10%  
                      0256-134   55.97%     56.05%     55.96%     12.08%  
                      0346-125   55.97%     60.87%     55.68%     20.68%  
                      01235-46   84.28%     60.33%     55.32%     13.83%  
                      013456-2   72.96%     54.96%     55.26%     11.18%  
                      013-2456   60.38%     55.82%     55.21%     11.04%  
                      02456-13   55.97%     55.57%     55.03%     11.53%  
                      01256-34   71.07%     68.00%     55.01%     21.98%  
                      0125-346   69.18%     66.22%     54.65%     20.70%  
                      023456-1   61.01%     57.24%     54.28%     18.87%  
                      02346-15   57.86%     56.13%     54.01%     14.21%  
                      0246-135   54.09%     54.20%     53.97%     8.46%   
                      025-1346   54.09%     54.04%     53.97%     8.05%   
                      02356-14   55.97%     55.34%     53.73%     11.69%  
                      0135-246   62.26%     53.65%     53.51%     7.10%   
                      0245-136   54.09%     54.02%     53.49%     8.24%   
                      026-1345   54.09%     53.49%     53.49%     6.99%   
                      024-1356   53.46%     53.65%     53.44%     7.31%   
                      0136-245   59.75%     53.77%     53.32%     7.14%   
                      0234-156   55.97%     54.95%     52.84%     11.21%  
                      03456-12   52.83%     58.80%     52.82%     17.76%  
                      01356-24   62.89%     52.72%     52.63%     5.32%   
                      02-13456   53.46%     52.46%     52.46%     4.95%   
                      0345-126   52.20%     58.02%     52.18%     15.83%  
                      0236-145   52.83%     53.09%     52.07%     6.41%   
                      01234-56   88.68%     54.08%     51.98%     5.49%   
                      02345-16   57.86%     55.03%     51.89%     12.64%  
                      0123-456   76.10%     55.45%     51.71%     7.37%   
                      012-3456   62.26%     61.29%     51.47%     15.28%  
                      0235-146   52.83%     52.71%     51.09%     5.84%   
                      01236-45   77.99%     54.51%     51.00%     5.86%   
                      023-1456   50.94%     51.46%     50.50%     3.00%   
                      036-1245   53.46%     53.09%     50.48%     5.54%   
                      0126-345   62.89%     59.69%     50.32%     12.63%  
                      03-12456   54.09%     52.78%     50.28%     4.92%   
                      01245-36   76.73%     56.33%     50.25%     7.14%   
                      0124-356   69.81%     55.53%     49.39%     6.73%   
                      012345-6   96.86%     49.04%     49.20%     -1.57%  
                      012456-3   78.62%     54.75%     49.19%     4.92%   
                      0356-124   50.31%     52.59%     49.16%     4.78%   
                      035-1246   49.69%     51.07%     47.95%     1.94%   
                      012346-5   90.57%     46.45%     47.52%     -4.38%  
                      01246-35   70.44%     50.46%     46.79%     0.53%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                      04-12356   70.44%     69.23%     66.25%     34.87%  
                      014-2356   67.92%     68.59%     65.52%     34.17%  
                      046-1235   68.55%     67.74%     64.95%     32.36%  
                      01-23456   62.89%     66.51%     62.51%     31.50%  
                      0145-236   68.55%     66.01%     63.92%     29.44%  
                      0456-123   64.15%     65.46%     62.21%     28.43%  
                      0146-235   66.04%     65.56%     62.79%     28.38%  
                      015-2346   63.52%     65.28%     62.08%     28.37%  
                      045-1236   64.78%     65.55%     62.27%     28.34%  
                      0-123456   72.96%     64.21%     63.16%     26.70%  
                      016-2345   61.01%     64.11%     60.31%     26.56%  
                      01456-23   67.92%     64.07%     62.17%     25.76%  
                      0156-234   62.89%     63.96%     60.89%     25.68%  
                      06-12345   71.07%     63.26%     62.21%     24.87%  
                      056-1234   66.67%     62.42%     60.69%     22.75%  
                      01256-34   71.07%     68.00%     55.01%     21.98%  
                      05-12346   67.30%     61.89%     60.23%     21.71%  
                      034-1256   56.60%     61.28%     56.04%     21.10%  
                      0134-256   70.44%     60.34%     60.42%     20.85%  
                      0125-346   69.18%     66.22%     54.65%     20.70%  
                      0346-125   55.97%     60.87%     55.68%     20.68%  
                      012356-4   87.42%     66.17%     58.11%     20.45%  
                      023456-1   61.01%     57.24%     54.28%     18.87%  
                      03456-12   52.83%     58.80%     52.82%     17.76%  
                      0345-126   52.20%     58.02%     52.18%     15.83%  
                      01346-25   69.81%     57.60%     57.73%     15.49%  
                      012-3456   62.26%     61.29%     51.47%     15.28%  
                      01345-26   72.33%     56.57%     56.96%     14.44%  
                      02346-15   57.86%     56.13%     54.01%     14.21%  
                      01235-46   84.28%     60.33%     55.32%     13.83%  
                      02345-16   57.86%     55.03%     51.89%     12.64%  
                      0126-345   62.89%     59.69%     50.32%     12.63%  
                      0256-134   55.97%     56.05%     55.96%     12.08%  
                      02356-14   55.97%     55.34%     53.73%     11.69%  
                      02456-13   55.97%     55.57%     55.03%     11.53%  
                      0234-156   55.97%     54.95%     52.84%     11.21%  
                      013456-2   72.96%     54.96%     55.26%     11.18%  
                      013-2456   60.38%     55.82%     55.21%     11.04%  
                      0246-135   54.09%     54.20%     53.97%     8.46%   
                      0245-136   54.09%     54.02%     53.49%     8.24%   
                      025-1346   54.09%     54.04%     53.97%     8.05%   
                      0123-456   76.10%     55.45%     51.71%     7.37%   
                      024-1356   53.46%     53.65%     53.44%     7.31%   
                      0136-245   59.75%     53.77%     53.32%     7.14%   
                      01245-36   76.73%     56.33%     50.25%     7.14%   
                      0135-246   62.26%     53.65%     53.51%     7.10%   
                      026-1345   54.09%     53.49%     53.49%     6.99%   
                      0124-356   69.81%     55.53%     49.39%     6.73%   
                      0236-145   52.83%     53.09%     52.07%     6.41%   
                      01236-45   77.99%     54.51%     51.00%     5.86%   
                      0235-146   52.83%     52.71%     51.09%     5.84%   
                      036-1245   53.46%     53.09%     50.48%     5.54%   
                      01234-56   88.68%     54.08%     51.98%     5.49%   
                      01356-24   62.89%     52.72%     52.63%     5.32%   
                      02-13456   53.46%     52.46%     52.46%     4.95%   
                      012456-3   78.62%     54.75%     49.19%     4.92%   
                      03-12456   54.09%     52.78%     50.28%     4.92%   
                      0356-124   50.31%     52.59%     49.16%     4.78%   
                      023-1456   50.94%     51.46%     50.50%     3.00%   
                      035-1246   49.69%     51.07%     47.95%     1.94%   
                      01246-35   70.44%     50.46%     46.79%     0.53%   
                      012345-6   96.86%     49.04%     49.20%     -1.57%  
                      012346-5   90.57%     46.45%     47.52%     -4.38%  
