R:A::C:P,0,1,2 3,4,5,6
0,32,19,10,6,5,2
1,92,101,73,50,25,40
2 3,56,61,110,49,50,51
4,8,5,29,16,9,6
5,17,12,29,14,13,11
6,49,36,95,55,68,88
