R:A::C:P,0,1,2 3 4,5 6
0,0.4666666666666667,0.13333333333333333,0.23333333333333334,0.16666666666666666
1,0.28313253012048195,0.18674698795180722,0.35542168674698793,0.1746987951807229
2 3 4,0.1111111111111111,0.15384615384615385,0.47863247863247865,0.2564102564102564
5 6,0.15151515151515152,0.06060606060606061,0.48484848484848486,0.30303030303030304
