R:A::C:P,0 1 2,3,4 5 6
0 1 2,0.47606382978723405,0.07446808510638298,0.26595744680851063
3,0.02127659574468085,0.007978723404255319,0.02925531914893617
4 5 6,0.0425531914893617,0.015957446808510637,0.06648936170212766
