R:A::C:P,0 5,1 3 4 6,2
0 5,0.048132183908045974,0.0617816091954023,0.01221264367816092
1 3 4 6,0.20402298850574713,0.39727011494252873,0.07902298850574713
2,0.05244252873563218,0.11566091954022989,0.029454022988505746
