R:A::C:P,0,1,2,3 4 5 6
0,0.07446808510638298,0.02127659574468085,0.010638297872340425,0.05319148936170213
1,0.125,0.08244680851063829,0.05585106382978723,0.17819148936170212
2,0.026595744680851064,0.04521276595744681,0.034574468085106384,0.10904255319148937
3 4 5 6,0.02127659574468085,0.007978723404255319,0.034574468085106384,0.1196808510638298
