R:A::C:P,0,1 2 3,4 5,6
0,0.07446808510638298,0.0398936170212766,0.031914893617021274,0.013297872340425532
1 2 3,0.15425531914893617,0.31117021276595747,0.1356382978723404,0.11436170212765957
4 5,0.015957446808510637,0.023936170212765957,0.02925531914893617,0.013297872340425532
6,0.0026595744680851063,0.015957446808510637,0.02127659574468085,0.0026595744680851063
