R:A::C:P,0 6,1 2 3 5,4
0 6,0.08365019011406843,0.09125475285171103,0.024714828897338403
1 2 3 5,0.23193916349809887,0.4372623574144487,0.08555133079847908
4,0.017110266159695818,0.028517110266159697,0.0
