R:A::C:P,0,1,2,3 6,4 5
0,0.40476190476190477,0.17857142857142858,0.08,0.058823529411764705,0.3
1,0.42857142857142855,0.6428571428571429,0.44,0.35294117647058826,0.36666666666666664
2,0.09523809523809523,0.14285714285714285,0.32,0.38235294117647056,0.16666666666666666
3 6,0.023809523809523808,0.03571428571428571,0.08,0.08823529411764706,0.06666666666666667
4 5,0.047619047619047616,0.0,0.08,0.11764705882352941,0.1
