R:A::C:P,0 2,1 4,3,5
0 2,0.5,0.2631578947368421,0.18421052631578946,0.05263157894736842
1 4,0.5789473684210527,0.2894736842105263,0.10526315789473684,0.02631578947368421
3,1.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0
