R:A::C:P,0 3,1,2 4 5
0 3,0.4090909090909091,0.3181818181818182,0.2727272727272727
1,0.3888888888888889,0.2777777777777778,0.3333333333333333
2 4 5,0.45454545454545453,0.18181818181818182,0.36363636363636365
