R:A::C:P,0 3,1,2 4 5
0 3,0.2727272727272727,0.3333333333333333,0.23076923076923078
1,0.42424242424242425,0.47619047619047616,0.46153846153846156
2 4 5,0.30303030303030304,0.19047619047619047,0.3076923076923077
