R:A::C:P,0 6,1,2,3,4,5
0 6,0.5208333333333334,0.125,0.08333333333333333,0.125,0.10416666666666667,0.041666666666666664
1,0.39473684210526316,0.12280701754385964,0.19298245614035087,0.11403508771929824,0.11403508771929824,0.06140350877192982
2,0.3148148148148148,0.14814814814814814,0.18518518518518517,0.14814814814814814,0.1111111111111111,0.09259259259259259
3,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
4,0.18181818181818182,0.0,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.0
5,0.375,0.0,0.375,0.25,0.0,0.0
