R:A::C:P,0 2 4 6,1,3,5
0 2 4 6,0.4550898203592814,0.4827586206896552,0.45714285714285713,0.4375
1,0.47904191616766467,0.4827586206896552,0.37142857142857144,0.4375
3,0.029940119760479042,0.034482758620689655,0.11428571428571428,0.125
5,0.03592814371257485,0.0,0.05714285714285714,0.0
