R:A::C:P,0 6,1,2,3 4 5
0 6,0.4864864864864865,0.13513513513513514,0.05405405405405406,0.32432432432432434
1,0.2571428571428571,0.2571428571428571,0.15714285714285714,0.32857142857142857
2,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.47058823529411764
3 4 5,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.5555555555555556
