R:A::C:P,0,1,2,3,4,5 6
0,32,19,7,3,6,7
1,92,101,39,34,50,65
2,39,50,41,39,34,72
3,17,11,15,15,15,29
4,8,5,16,13,16,15
5 6,66,48,50,74,69,180
