                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   65.16%     38.28%     31.04%     12.58%  
                    0124-3-5-6   62.77%     27.22%     26.54%     4.84%   
                    0123-4-5-6   60.90%     35.04%     28.37%     9.31%   
                    0125-3-4-6   56.91%     33.14%     26.57%     6.93%   
                    012-35-4-6   53.46%     37.61%     30.12%     12.57%  
                    012-3-46-5   53.19%     34.90%     28.98%     11.07%  
                    012-34-5-6   52.93%     31.66%     27.99%     9.40%   
                    012-3-4-56   52.93%     38.06%     29.49%     11.91%  
                    012-36-4-5   52.13%     36.09%     28.76%     10.61%  
                    012-3-45-6   51.60%     28.42%     25.67%     6.62%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   65.16%     38.28%     31.04%     12.58%  
                    012-3-4-56   52.93%     38.06%     29.49%     11.91%  
                    012-35-4-6   53.46%     37.61%     30.12%     12.57%  
                    012-36-4-5   52.13%     36.09%     28.76%     10.61%  
                    0123-4-5-6   60.90%     35.04%     28.37%     9.31%   
                    012-3-46-5   53.19%     34.90%     28.98%     11.07%  
                    0125-3-4-6   56.91%     33.14%     26.57%     6.93%   
                    012-34-5-6   52.93%     31.66%     27.99%     9.40%   
                    012-3-45-6   51.60%     28.42%     25.67%     6.62%   
                    0124-3-5-6   62.77%     27.22%     26.54%     4.84%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   65.16%     38.28%     31.04%     12.58%  
                    012-35-4-6   53.46%     37.61%     30.12%     12.57%  
                    012-3-4-56   52.93%     38.06%     29.49%     11.91%  
                    012-3-46-5   53.19%     34.90%     28.98%     11.07%  
                    012-36-4-5   52.13%     36.09%     28.76%     10.61%  
                    0123-4-5-6   60.90%     35.04%     28.37%     9.31%   
                    012-34-5-6   52.93%     31.66%     27.99%     9.40%   
                    0125-3-4-6   56.91%     33.14%     26.57%     6.93%   
                    0124-3-5-6   62.77%     27.22%     26.54%     4.84%   
                    012-3-45-6   51.60%     28.42%     25.67%     6.62%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    0126-3-4-5   65.16%     38.28%     31.04%     12.58%  
                    012-35-4-6   53.46%     37.61%     30.12%     12.57%  
                    012-3-4-56   52.93%     38.06%     29.49%     11.91%  
                    012-3-46-5   53.19%     34.90%     28.98%     11.07%  
                    012-36-4-5   52.13%     36.09%     28.76%     10.61%  
                    012-34-5-6   52.93%     31.66%     27.99%     9.40%   
                    0123-4-5-6   60.90%     35.04%     28.37%     9.31%   
                    0125-3-4-6   56.91%     33.14%     26.57%     6.93%   
                    012-3-45-6   51.60%     28.42%     25.67%     6.62%   
                    0124-3-5-6   62.77%     27.22%     26.54%     4.84%   
