                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
                   013-2-4-5-6   54.09%     26.67%     24.12%     7.35%   
                   014-2-3-5-6   53.46%     23.81%     22.45%     8.87%   
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   015-2-3-4-6   49.69%     31.10%     26.04%     12.67%  
                   01-25-3-4-6   47.80%     32.18%     27.00%     14.16%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   01-24-3-5-6   45.91%     23.10%     21.48%     7.16%   
                   01-26-3-4-5   45.91%     30.89%     26.23%     13.38%  
                   016-2-3-4-5   45.28%     30.02%     25.26%     11.75%  
                   01-2-35-4-6   45.28%     29.78%     25.56%     12.42%  
                   01-2-36-4-5   45.28%     30.99%     26.09%     13.18%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   01-2-3-46-5   44.65%     28.13%     24.66%     11.41%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-25-3-4-6   47.80%     32.18%     27.00%     14.16%  
                   015-2-3-4-6   49.69%     31.10%     26.04%     12.67%  
                   01-2-36-4-5   45.28%     30.99%     26.09%     13.18%  
                   01-26-3-4-5   45.91%     30.89%     26.23%     13.38%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   016-2-3-4-5   45.28%     30.02%     25.26%     11.75%  
                   01-2-35-4-6   45.28%     29.78%     25.56%     12.42%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   01-2-3-46-5   44.65%     28.13%     24.66%     11.41%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
                   013-2-4-5-6   54.09%     26.67%     24.12%     7.35%   
                   014-2-3-5-6   53.46%     23.81%     22.45%     8.87%   
                   01-24-3-5-6   45.91%     23.10%     21.48%     7.16%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   01-25-3-4-6   47.80%     32.18%     27.00%     14.16%  
                   01-26-3-4-5   45.91%     30.89%     26.23%     13.38%  
                   01-2-36-4-5   45.28%     30.99%     26.09%     13.18%  
                   015-2-3-4-6   49.69%     31.10%     26.04%     12.67%  
                   01-2-35-4-6   45.28%     29.78%     25.56%     12.42%  
                   016-2-3-4-5   45.28%     30.02%     25.26%     11.75%  
                   01-2-3-46-5   44.65%     28.13%     24.66%     11.41%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   013-2-4-5-6   54.09%     26.67%     24.12%     7.35%   
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   014-2-3-5-6   53.46%     23.81%     22.45%     8.87%   
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
                   01-24-3-5-6   45.91%     23.10%     21.48%     7.16%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   01-25-3-4-6   47.80%     32.18%     27.00%     14.16%  
                   01-26-3-4-5   45.91%     30.89%     26.23%     13.38%  
                   01-2-36-4-5   45.28%     30.99%     26.09%     13.18%  
                   015-2-3-4-6   49.69%     31.10%     26.04%     12.67%  
                   01-2-35-4-6   45.28%     29.78%     25.56%     12.42%  
                   016-2-3-4-5   45.28%     30.02%     25.26%     11.75%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   01-2-3-46-5   44.65%     28.13%     24.66%     11.41%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   014-2-3-5-6   53.46%     23.81%     22.45%     8.87%   
                   013-2-4-5-6   54.09%     26.67%     24.12%     7.35%   
                   01-24-3-5-6   45.91%     23.10%     21.48%     7.16%   
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
